term,category,definition,related,source,keywords
Molding,반도체 패키징,"칩을 보호하기 위해 에폭시로 패키지를 형성하는 공정.","Package","패키징 기술","Molding 에폭시 패키지"
Underfill,반도체 패키징,"칩과 기판 사이에 에폭시를 채워 열/응력 분산을 돕는 공정.","Flip Chip","패키징","언더필 underfill FLIP CHIP"
Reflow,SMT 공정,"납땜 페이스트를 녹여 부품을 PCB에 접합하는 공정.","SMT;Pick and Place","전자패키징","Reflow 리플로우 솔더링"
Pick and Place,SMT 공정,"칩/부품을 PCB 위치에 자동 배치하는 공정.","SMT;Reflow","SMT 기술","Pick and Place 자동장착기"
Stencil Printing,SMT 공정,"솔더페이스트를 PCB 패드에 인쇄하는 공정.","SMT;Reflow","전자공정","Stencil 솔더페이스트 인쇄"
AOI,품질검사,"카메라 기반 자동광학검사로 PCB 결함을 검사하는 장비.","SPI;X-Ray 검사","품질","AOI 자동광학검사 PCB 결함"
SPI,품질검사,"솔더페이스트 인쇄 두께 및 품질을 검사하는 장비.","AOI","품질","SPI Paste Inspection"
X-ray Inspection,품질검사,"X-ray 촬영으로 납땜 내부 결함 등을 검사하는 기법.","AOI","비파괴검사","X-ray 검사 NDT 전자"
Chiller,설비,"장비 냉각수를 일정 온도로 유지하는 냉각장치.","Cooling System","설비엔지니어링","Chiller 냉각"
Scrubber,설비,"반응 부산물 및 유해가스를 제거하는 배기 정화 장치.","배기;필터","환경안전","Scrubber 배기가스 정화"
MFC,설비,"기체 유량을 정밀하게 제어하는 Mass Flow Controller.","Gas Line","장비 매뉴얼","MFC Mass Flow Controller"
Loadport,반도체 장비,"FOUP/Cassette를 장비에 로딩하는 인터페이스.","EFEM","장비 매뉴얼","Loadport FOUP EFEM Cassette"
EFEM,반도체 장비,"웨이퍼 자동 이송을 위한 장비의 프런트엔드 모듈.","Loadport;Robot Arm","반도체 장비","EFEM Equipment Front End Module"
Robot Arm,FA 시스템,"웨이퍼 또는 물류를 자동 이송하는 로봇 장치.","EFEM;AMHS","FAB 자동화","Robot Arm 이송 로봇"
OHT,FA 시스템,"상부 레일을 따라 FOUP을 운반하는 자동 물류 시스템.","AMHS","FAB 자동화","OHT Overhead Hoist Transport"
AMHS,FA 시스템,"FAB 내부 물류 자동화를 위한 시스템.","OHT","공장자동화","AMHS Auto Material Handling"
MES,스마트팩토리,"생산계획/작업지시/품질관리를 담당하는 제조실행시스템.","ERP;PLC","스마트팩토리","MES Manufacturing Execution System"
PLC,스마트팩토리,"장비 및 공정을 제어하는 산업용 제어 장치.","MES","제어공학","PLC Programmable Logic Controller"
SCADA,스마트팩토리,"공정 실시간 모니터링 및 제어 시스템.","PLC;DCS","산업제어","SCADA Supervisory Control"
DCS,스마트팩토리,"분산 제어 시스템으로 대규모 공정 제어를 수행.","PLC;SCADA","공정제어","DCS Distributed Control System"
Digital Twin,스마트팩토리,"현실 공정을 디지털 모델로 구성하여 시뮬레이션하는 기술.","Simulation","스마트팩토리","디지털 트윈 Digital Twin 모델링"
Sensor Fusion,스마트팩토리,"여러 센서 데이터를 결합해 공정상태를 추정하는 기술.","AI;Condition Monitoring","스마트팩토리","Sensor Fusion 센서통합"
Predictive Maintenance,스마트팩토리,"장비 고장을 사전에 예측하여 유지보수하는 기법.","Condition Monitoring","스마트팩토리","Predictive Maintenance 예지보전"
SPC,품질,"통계적 품질관리로 공정 이상 여부를 판단하는 기법.","Control Chart","품질","SPC Statistical Process Control"
Control Chart,품질,"공정 변동을 감시하는 관리도.","SPC","품질","Control Chart 관리도"
FMEA,품질,"고장 형태 및 영향을 분석하여 위험을 평가하는 방법.","FTA;Risk Analysis","품질엔지니어링","FMEA 고장 형태 영향 분석"
FTA,품질,"시스템 고장을 논리적으로 분석하는 기법.","FMEA;Risk Analysis","위해분석","FTA Fault Tree Analysis"
DOE,품질,"실험계획법으로 공정 변수의 영향 분석.","SPC","품질관리","DOE Design of Experiments"
MQR,품질,"품질 신뢰성 관리 지표.","Reliability","품질","MQR Manufacturing Quality Reliability"
OEE,생산성,"가동률·성능·품질을 종합한 설비종합효율.","TPM","생산관리","OEE Overall Equipment Effectiveness"
TPM,생산성,"Total Productive Maintenance. 생산성 향상 위한 전사적 보전.","OEE","설비관리","TPM 설비종합보전"
Kaizen,생산성,"작은 단위의 지속적 개선 활동.","Lean","생산혁신","Kaizen 개선 Lean"
Lean,생산성,"낭비를 제거하여 효율을 극대화하는 생산 방식.","Kaizen","제조혁신","Lean 생산방식 낭비제거"
JIT,생산성,"필요한 시점에 필요한 만큼 생산하는 Just-In-Time 방식.","Lean","생산혁신","JIT 적시생산"
Kanban,생산성,"시각적 생산·재고 관리 방식.","Lean;JIT","제조혁신","Kanban 칸반 보드"
AGV,스마트 물류,"자동 유도차로 물류를 이송하는 장치.","AMR","물류자동화","AGV Automated Guided Vehicle"
AMR,스마트 물류,"센서 기반 자율주행 로봇으로 유연한 물류 자동화 제공.","AGV","스마트물류","AMR Autonomous Mobile Robot"
